Ensemble_ID	NOM_1	NOM_2	OSF_1	OSF_2	OSCC_1	OSCC_2
ENSG00000272153	7	7	14	31	12	8
ENSG00000116198	1539	1495	1642	2554	2541	934
ENSG00000169598	164	85	127	144	129	41
ENSG00000264428	0	0	0	0	0	0
ENSG00000198912	555	451	618	1180	906	426
ENSG00000236423	36	8	26	25	46	11
ENSG00000233304	0	0	0	4	60	14
ENSG00000226374	0	0	0	1	15	7
ENSG00000229280	0	0	0	0	0	0
ENSG00000235054	0	0	0	1	15	4
ENSG00000227169	0	0	0	0	1	8
ENSG00000232596	0	0	2	0	18	0
ENSG00000196581	54	139	324	2513	601	88
ENSG00000231510	0	0	0	0	3	0
ENSG00000260972	0	0	2	2	27	2
ENSG00000264341	0	0	0	8	14	2
ENSG00000236948	0	0	0	3	5	4
ENSG00000216045	0	0	0	0	0	0
ENSG00000264101	2	2	0	2	0	0
ENSG00000131697	435	383	343	876	553	236
ENSG00000266687	0	2	0	2	2	0
ENSG00000069424	567	788	404	993	394	133
ENSG00000268332	0	0	0	0	0	0
ENSG00000116254	12	10	8	45	110	65
ENSG00000116251	10222	13948	11687	11526	16188	7780
ENSG00000226944	10	5	10	4	8	0
ENSG00000158286	456	354	1046	434	329	128
ENSG00000116237	3784	5892	13286	6048	7121	2620
ENSG00000225077	2	8	10	10	36	16
ENSG00000173673	0	4	0	2	6	8
ENSG00000158292	400	524	893	4354	2152	1341
ENSG00000097021	692	778	777	2354	1957	1186
ENSG00000271746	0	0	0	0	0	0
ENSG00000069812	1556	1347	1700	1414	4472	1582
ENSG00000187017	493	455	251	370	158	80
ENSG00000265392	0	0	0	3	0	3
ENSG00000231868	14	10	19	11	9	3
ENSG00000215788	571	226	411	1022	227	222
ENSG00000171680	2212	1176	1430	3818	1596	1248
ENSG00000162408	1291	1407	1327	1461	1386	936
ENSG00000253022	2	0	0	1	1	0
ENSG00000229519	15	7	14	20	8	4
ENSG00000173662	4	47	8	18	47	22
ENSG00000204859	674	730	655	1096	900	274
ENSG00000162413	2363	6910	4491	3785	4385	1750
ENSG00000116273	674	1256	454	1775	1148	955
ENSG00000041988	244	192	316	330	429	62
ENSG00000007923	1099	1009	1042	1054	889	482
ENSG00000228750	0	0	0	2	20	2
ENSG00000239166	0	0	0	0	3	0
ENSG00000237436	29	46	51	20	16	13
ENSG00000171735	475	521	513	534	666	222
ENSG00000227950	6	2	6	2	6	9
ENSG00000237365	0	0	0	0	0	9
ENSG00000207056	0	0	0	0	1	0
ENSG00000237402	0	1	0	4	8	3
ENSG00000237728	4	0	6	8	10	3
ENSG00000225126	0	1	2	4	9	2
ENSG00000270171	0	0	0	0	17	12
ENSG00000270035	0	4	0	2	6	0
ENSG00000269978	0	2	2	0	11	0
ENSG00000049245	3933	5250	5102	6302	5704	3475
ENSG00000269925	10	21	8	26	26	6
ENSG00000049246	2816	1594	2742	1116	1041	903
ENSG00000236266	19	4	28	12	16	10
ENSG00000049247	2	6	0	6	25	4
ENSG00000049249	41	28	10	213	83	22
ENSG00000270330	0	0	0	5	18	1
ENSG00000116288	2674	4421	5581	5850	5847	2503
ENSG00000200344	4	4	0	1	5	1
ENSG00000116285	980	8357	1076	6210	2693	1700
ENSG00000238290	2	14	0	8	43	12
ENSG00000232848	2	0	0	0	7	1
ENSG00000229305	0	4	0	1	6	1
ENSG00000200975	0	0	0	0	1	0
ENSG00000227634	0	6	0	1	14	3
ENSG00000233645	0	0	0	0	9	0
ENSG00000265414	0	0	0	0	6	2
ENSG00000251977	0	0	0	0	3	0
ENSG00000162426	24	38	24	30	31	37
ENSG00000252254	0	3	0	0	11	0
ENSG00000142599	2436	3403	3422	2494	1746	834
ENSG00000232912	25	24	31	43	32	19
ENSG00000221083	2	2	0	2	2	0
ENSG00000270282	2	0	2	0	9	2
ENSG00000234619	17	4	15	12	26	10
ENSG00000224315	12	19	24	38	25	5
ENSG00000222511	4	4	4	7	5	10
ENSG00000226545	0	0	8	20	22	2
ENSG00000228423	14	3	21	24	7	0
ENSG00000229716	0	0	0	2	4	0
ENSG00000074800	41283	35458	40807	106411	106528	57199
