Ensembl_ID	MN_1	OSFSCC_1	MN_2	OSFSCC_2
ENSG00000215788.11_15	485	622	92	64
ENSG00000171680.23_12	1635	1856	525	655
ENSG00000162408.11_7	1047	1982	1083	1128
ENSG00000253022.1	0	0	1	0
ENSG00000229519.2_9	1	1	7	10
ENSG00000173662.21_7	4	0	9	0
ENSG00000204859.13_11	516	503	417	62
ENSG00000162413.17_9	2959	3173	2850	747
ENSG00000116273.6_6	1073	2210	895	411
ENSG00000041988.16_14	319	370	429	83
ENSG00000007923.17_9	1339	2070	1248	2108
ENSG00000228750.7_8	0	0	2	0
ENSG00000239166.1	0	0	0	0
ENSG00000284744.1_6	3	0	6	28
ENSG00000237436.1_9	9	8	31	1
ENSG00000171735.20_9	915	1357	1328	837
ENSG00000227950.1_7	0	0	2	0
ENSG00000237365.1_11	0	0	0	0
ENSG00000207056.1	0	0	5	22
ENSG00000237402.1_7	0	1	0	0
ENSG00000237728.2_10	0	0	0	0
ENSG00000225126.1_9	0	0	0	0
ENSG00000270171.1_8	0	0	0	0
ENSG00000270035.1_8	8	0	0	0
ENSG00000269978.1_8	4	4	1	0
ENSG00000049245.13_7	4990	11046	6435	6465
ENSG00000269925.1_9	2	14	9	0
ENSG00000049246.15_8	2574	1096	618	206
ENSG00000236266.1_10	0	3	2	0
ENSG00000049247.14_9	0	2	2	19
ENSG00000049249.10_8	34	711	51	428
ENSG00000270330.1_7	0	0	0	0
ENSG00000116288.13_10	4709	8969	8352	5568
ENSG00000200344.1	0	0	0	0
ENSG00000284747.1_9	8	21	19	39
ENSG00000284716.1_8	0	3	3	15
ENSG00000116285.13_7	1983	10708	2750	7275
ENSG00000238290.1_11	5	6	11	0
ENSG00000232848.1_10	0	2	0	1
ENSG00000229305.1_7	0	0	2	0
ENSG00000288816.1_1	0	1	1	0
ENSG00000227634.3_8	5	2	2	0
ENSG00000200975.1	0	0	0	0
ENSG00000233645.1_10	0	0	0	5
ENSG00000265414.1	1	0	0	0
ENSG00000251977.1	0	0	0	0
ENSG00000162426.16_7	30	20	32	0
ENSG00000252254.1	0	1	0	0
ENSG00000142599.20_13	4649	3559	3754	2078
ENSG00000232912.6_10	9	2	3	0
ENSG00000221083.1	0	0	2	3
ENSG00000270282.1_9	0	0	0	0
ENSG00000234619.1_5	0	0	0	29
ENSG00000224315.2_7	0	0	0	0
ENSG00000222511.1	0	0	0	0
ENSG00000226545.1_10	0	2	2	0
ENSG00000228423.2_12	0	0	7	15
ENSG00000229716.2_7	0	0	1	21
ENSG00000074800.16_14	42251	111266	26397	59942
ENSG00000230679.1_7	4	7	18	0
ENSG00000201725.1	0	1	0	0
ENSG00000238249.2_5	1	4	1	1
ENSG00000232208.2_9	0	0	0	0
ENSG00000232663.2_9	0	2	0	0
ENSG00000131686.15_11	2	6	13	0
ENSG00000290109.1_1	0	0	2	0
ENSG00000265141.1	0	0	0	0
ENSG00000197241.4_6	0	2	3	3
ENSG00000142583.18_10	402	255	1528	266
ENSG00000252404.1	0	0	0	6
ENSG00000180758.12_8	3947	1226	3803	415
ENSG00000228526.8_10	114	71	132	51
ENSG00000207865.1	0	0	0	0
ENSG00000289914.1_1	0	0	1	0
ENSG00000234546.5_9	52	27	48	8
ENSG00000049239.13_10	5496	10006	4742	591
ENSG00000252841.1	0	0	0	0
ENSG00000171621.14_10	1150	3243	1396	912
ENSG00000284652.1_6	0	6	4	0
ENSG00000284693.2_9	27	23	31	0
ENSG00000252956.1_2	0	0	0	0
ENSG00000235263.1_10	12	0	19	0
ENSG00000171612.7_7	513	376	1246	244
ENSG00000231181.1_7	0	1	5	1
ENSG00000188807.13_9	368	862	393	105
ENSG00000171608.18_8	471	2987	279	1651
ENSG00000179840.5_9	0	3	0	0
ENSG00000233268.3_10	0	0	1	0
ENSG00000231789.4_12	46	20	26	25
ENSG00000171603.18_11	19789	68879	10770	7859
ENSG00000271264.1_5	0	0	0	0
ENSG00000280113.2_6	0	11	2	0
ENSG00000178585.15_7	7565	1971	7235	910
ENSG00000223989.1_8	0	0	0	0
ENSG00000285701.1_5	2	0	1	0
ENSG00000162441.12_8	2070	2959	3337	4167
ENSG00000228150.1_9	10	13	8	0
ENSG00000173614.14_7	572	860	1000	273
ENSG00000202415.1	3	3	4	0
ENSG00000283611.2_10	0	0	0	0
ENSG00000265521.1	0	0	0	0
ENSG00000241326.1_9	0	0	0	0
ENSG00000162444.12_6	220	7	285	30
ENSG00000225786.2	0	1	0	8
ENSG00000130939.20_9	5297	5019	3884	2589
ENSG00000224340.1_7	0	1	0	0
ENSG00000233623.2_7	0	1	0	0
ENSG00000201746.1	0	0	2	0
ENSG00000054523.20_12	5481	5989	10326	6358
ENSG00000264881.1	0	0	0	3
ENSG00000199562.1	6	0	8	0
ENSG00000264501.1	0	0	0	0
ENSG00000284735.1_9	15	8	24	31
ENSG00000265945.1	0	0	1	0
ENSG00000284642.1_6	17	12	29	0
ENSG00000142657.21_9	19962	4519	16539	4486
ENSG00000271989.1_8	0	0	0	0
ENSG00000251503.8_14	0	0	0	0
ENSG00000175279.22_8	27	49	57	188
ENSG00000241563.4_6	0	1	0	0
ENSG00000160049.12_7	2067	3553	2315	3061
ENSG00000203469.2_8	0	0	0	0
ENSG00000142655.13_6	711	938	605	436
ENSG00000287727.1_5	0	6	4	0
ENSG00000243267.2	0	0	3	0
ENSG00000130940.15_11	1984	500	1555	623
ENSG00000272078.1_8	33	9	13	7
ENSG00000225158.2_7	0	1	4	0
ENSG00000175262.15_13	6	2	41	20
ENSG00000215785.2_7	0	2	1	0
ENSG00000264181.1	0	0	0	0
ENSG00000207213.1	0	0	0	0
ENSG00000120948.19_16	4667	10061	5394	9514
ENSG00000009724.18_8	40	47	66	0
ENSG00000116649.10_10	1069	1695	1237	615
ENSG00000171824.14_10	2151	3120	1753	4898
ENSG00000226849.1_9	0	2	3	0
ENSG00000230337.3_10	25	9	16	62
ENSG00000198793.14_12	3946	6625	3447	2569
ENSG00000225602.5_7	1	0	0	0
ENSG00000253086.1	0	0	0	0
ENSG00000271794.1	0	0	0	0
ENSG00000171819.5_6	48	2	63	0
ENSG00000207451.1	0	0	0	0
ENSG00000238173.1_5	0	0	1	0
ENSG00000120942.14_9	664	1064	1041	474
ENSG00000238199.1_8	0	3	7	19
ENSG00000284646.1_8	19	6	5	0
ENSG00000224338.2_7	0	2	4	0
ENSG00000204624.8_7	0	97	1	0
ENSG00000285833.1_6	0	3	0	0
ENSG00000235643.2_8	0	3	0	0
ENSG00000284708.1_6	0	1	3	26
ENSG00000116661.11_11	266	541	252	273
ENSG00000132879.14_8	453	563	406	135
ENSG00000116670.16_10	429	1784	592	198
ENSG00000116663.11_6	110	113	181	85
ENSG00000162490.7_6	22	51	18	97
ENSG00000177674.16_9	818	2139	776	114
ENSG00000215910.8_11	0	0	4	8
ENSG00000177553.6_9	0	0	0	0
ENSG00000177000.13_16	1487	840	1393	466
ENSG00000011021.23_9	477	822	522	366
ENSG00000175206.11_10	2	0	0	0
ENSG00000120937.9_7	0	0	0	0
ENSG00000224904.1_7	0	0	1	0
ENSG00000285646.2_7	39	23	28	39
ENSG00000199347.1	0	0	0	0
ENSG00000201801.1	0	2	0	0
ENSG00000116685.16_7	2112	2677	2033	772
ENSG00000083444.17_9	2488	16018	2280	944
ENSG00000287384.1_5	0	10	0	6
ENSG00000116688.18_12	7362	10787	7321	5449
ENSG00000270914.1_9	0	0	0	0
ENSG00000116691.11_6	242	383	228	10
ENSG00000202461.1	0	0	1	0
ENSG00000243539.2	0	1	0	0
ENSG00000120949.15_6	24	85	31	42
ENSG00000201135.1	0	0	5	17
ENSG00000227875.2_7	0	0	0	0
ENSG00000285604.1_6	0	0	0	0
ENSG00000028137.19_7	519	3190	921	501
ENSG00000263676.1	0	0	0	0
ENSG00000225196.2_7	0	0	4	0
ENSG00000252969.1	0	0	0	0
ENSG00000048707.15_17	11896	10716	9668	3931
ENSG00000239149.1	10	2	6	0
ENSG00000229484.3_10	0	2	4	50
ENSG00000162496.9_10	3263	473	2950	306
ENSG00000221340.1	0	0	0	0
ENSG00000288927.2_2	32	4	27	0
ENSG00000272482.2_9	11	0	7	0
ENSG00000204518.3_4	0	0	0	0
ENSG00000226166.2_9	0	0	0	0
ENSG00000188984.12_7	0	8	0	65
ENSG00000238771.1	0	0	0	0
ENSG00000157330.10_10	0	1	3	0
ENSG00000116726.5_5	0	0	0	0
ENSG00000116721.9_7	0	0	0	13
ENSG00000228338.1_8	0	0	0	0
ENSG00000204513.5	0	0	0	0
ENSG00000231103.2_8	0	1	1	0
ENSG00000179172.10_7	0	3	3	0
ENSG00000120952.4_4	0	0	0	0
ENSG00000243073.4_7	0	0	0	0
ENSG00000187545.5_7	0	0	0	0
ENSG00000204510.6_8	0	0	0	0
ENSG00000207434.1	0	0	0	0
ENSG00000234064.1_5	0	0	0	0
ENSG00000232423.6_8	0	0	0	0
ENSG00000250894.1	0	0	0	0
ENSG00000204508.3	0	0	0	0
ENSG00000239810.2	0	0	0	0
ENSG00000270601.1	0	0	0	0
ENSG00000250113.1	0	0	0	0
ENSG00000204505.3	0	0	0	0
ENSG00000233336.1	0	0	0	0
ENSG00000229978.1	0	0	0	0
ENSG00000277862.1_5	0	0	0	0
ENSG00000236179.1_8	0	0	0	0
ENSG00000275774.3_7	0	0	4	1
ENSG00000229571.2	0	2	0	0
ENSG00000204503.5	0	0	0	0
ENSG00000233394.1	0	0	0	0
ENSG00000204502.2	0	0	0	0
ENSG00000231219.1_8	0	0	0	0
ENSG00000207511.1	0	1	0	0
ENSG00000182330.6	0	0	0	0
ENSG00000237700.1	0	0	0	0
ENSG00000204501.2	0	0	0	0
ENSG00000228229.2	0	0	0	0
ENSG00000279169.3_12	0	0	0	0
ENSG00000274178.2_7	0	0	0	0
ENSG00000204491.2	0	0	0	0
ENSG00000204488.3	0	0	0	0
ENSG00000204486.3	0	0	0	0
ENSG00000204485.2	0	0	0	0
ENSG00000224581.1	0	0	0	0
ENSG00000157358.7	0	0	1	0
ENSG00000204481.8_7	0	0	0	0
ENSG00000204480.9_8	0	0	0	0
ENSG00000204479.4_6	1	0	0	0
ENSG00000204478.11_7	0	0	0	0
ENSG00000162494.6_7	1	13	195	0
ENSG00000259961.1_8	0	0	0	0
ENSG00000215909.3_5	0	0	1	0
ENSG00000162493.17_12	490	33700	971	8175
ENSG00000222952.1_2	0	0	0	0
ENSG00000266358.1	0	0	0	0
ENSG00000237445.2_11	18	54	20	368
ENSG00000253085.1	0	0	0	0
ENSG00000116731.23_11	3597	4339	3558	4306
ENSG00000289380.1_1	3	10	5	19
ENSG00000189337.17_14	3429	1888	1566	486
ENSG00000252151.1	0	0	0	0
ENSG00000231606.2_11	0	9	4	0
ENSG00000234593.3_10	0	3	5	0
ENSG00000235829.1_7	0	0	1	0
ENSG00000287756.1_5	0	2	4	11
ENSG00000175147.13_10	152	18	53	23
ENSG00000171729.14_9	1148	1197	672	1283
ENSG00000204464.7_7	1	2	1	16
ENSG00000215720.4_9	0	1	6	3
ENSG00000278480.1_7	1	0	2	0
ENSG00000142621.21_10	18	123	22	29
ENSG00000233485.1_10	0	0	5	21
ENSG00000236045.1_11	0	3	0	0
ENSG00000228140.2_12	0	6	7	10
ENSG00000142634.13_6	1829	6466	1628	1874
ENSG00000162438.12_6	0	10	9	0
ENSG00000142615.8_7	0	1	0	16
ENSG00000215704.10_11	10	3	4	3
ENSG00000132906.18_12	558	325	520	141
ENSG00000116138.13_6	1147	1943	1630	868
ENSG00000251866.1	0	0	0	0
ENSG00000272510.1_8	0	1	0	0
ENSG00000116771.6_7	115	71	220	78
ENSG00000237301.1_10	5	5	4	0
ENSG00000235084.3_5	2	11	7	12
ENSG00000252417.1	0	0	0	0
ENSG00000236500.1_5	0	0	0	0
ENSG00000197312.12_7	5467	4927	5282	2955
ENSG00000215695.2_7	0	0	0	0
ENSG00000271742.1_8	0	3	0	0
ENSG00000116786.13_10	4271	3853	3485	487
ENSG00000264048.1	0	0	0	0
ENSG00000237938.5_14	43	16	6	6
ENSG00000162461.8_6	41	9	175	23
ENSG00000224459.2_10	0	0	2	0
ENSG00000162460.7_6	0	0	0	0
ENSG00000162458.13_12	2017	7904	2192	2230
ENSG00000224321.1_7	7	4	4	3
ENSG00000233954.7_7	272	224	383	350
ENSG00000178715.8_9	16	14	15	6
ENSG00000179743.4_12	190	95	197	19
ENSG00000065526.13_10	6661	13998	4543	8207
ENSG00000238818.1	0	1	0	0
ENSG00000270620.1_7	0	0	0	0
ENSG00000116809.12_11	788	1150	653	296
ENSG00000234607.2_9	0	0	0	0
ENSG00000231353.1_7	0	0	0	0
ENSG00000275503.1_7	0	0	0	0
ENSG00000224966.4_5	0	0	0	0
ENSG00000183888.4_5	106	1	293	0
ENSG00000233078.1_10	0	0	0	0
ENSG00000173641.18_15	454	41	12093	0
ENSG00000186510.12_9	43	0	32	0
ENSG00000232456.1_10	1	1	3	0
ENSG00000184908.20_8	74	1	189	13
ENSG00000185519.9_7	12	9	14	0
ENSG00000142627.13_7	9930	6560	4605	2126
ENSG00000227959.2_9	72	24	50	26
ENSG00000224621.1_8	44	17	24	0
ENSG00000234166.1_7	0	0	0	0
ENSG00000142632.17_8	1189	429	583	70
ENSG00000291077.1_1	242	23	163	7
ENSG00000237276.10_11	28	0	9	0
ENSG00000288398.1_4	199	236	226	16
ENSG00000204377.3	0	0	0	0
ENSG00000132881.12_8	120	144	130	36
ENSG00000233929.1_5	0	5	5	0
ENSG00000037637.11_8	2206	1648	2068	848
ENSG00000055070.17_10	4143	5501	4223	2331
ENSG00000226457.1_6	1	2	0	0
ENSG00000187144.11_12	0	1	2	12
ENSG00000157191.20_7	2365	4525	2516	1042
ENSG00000226029.1_6	16	21	17	7
ENSG00000290842.1_1	11	31	20	0
ENSG00000080947.16_8	0	0	1	0
ENSG00000206652.1	2	8	1	0
ENSG00000261135.1_8	6	3	4	0
ENSG00000285853.1_4	0	0	2	0
ENSG00000224174.2_10	0	0	0	0
ENSG00000233421.5_8	5	0	4	0
ENSG00000268674.1	0	0	0	0
ENSG00000225710.1_9	0	0	0	0
ENSG00000266584.1	0	0	0	0
ENSG00000219481.11_8	1485	1588	1404	303
ENSG00000271732.1_8	0	0	1	0
ENSG00000291072.1_1	155	143	101	37
ENSG00000215908.12_9	10	13	2	0
ENSG00000283773.1_8	0	0	0	0
ENSG00000186301.8_5	176	46	49	0
ENSG00000282143.1_8	0	0	0	0
ENSG00000207513.1	0	0	0	0
ENSG00000237847.2	0	0	0	0
ENSG00000280114.1_4	2	0	2	0
ENSG00000264742.1	0	0	0	0
ENSG00000236698.1_5	10	14	24	74
ENSG00000290849.1_1	3	1	0	0
ENSG00000268869.7_8	6	0	14	0
ENSG00000279151.1_8	1	0	6	0
ENSG00000268991.1	0	0	0	0
ENSG00000282740.1_10	0	0	0	0
ENSG00000058453.17_10	595	560	241	56
ENSG00000290850.1_1	0	0	0	0
ENSG00000207389.1	2	0	0	0
ENSG00000227684.3_8	0	0	0	0
ENSG00000290851.1_1	19	6	22	0
ENSG00000186715.12_8	0	0	0	0
ENSG00000223643.6_11	0	0	0	0
ENSG00000230239.1_8	0	0	0	0
ENSG00000263811.1	0	0	0	0
ENSG00000228549.5_12	32	1	16	0
ENSG00000238142.4_13	30	10	168	21
ENSG00000235241.1_8	0	0	0	0
ENSG00000207005.1	1	3	0	0
ENSG00000272426.1_9	0	0	2	0
ENSG00000290122.1_1	0	3	0	0
ENSG00000117122.14_14	80	1375	63	147
ENSG00000286898.1_3	0	0	0	0
ENSG00000226526.1_8	0	0	0	0
ENSG00000159363.19_13	2084	2014	1682	77
ENSG00000288636.1_3	0	0	0	0
ENSG00000117118.10_6	2093	3133	4438	4539
ENSG00000117115.13_7	1056	197	10969	38
ENSG00000252180.1	0	0	0	0
ENSG00000204362.6_10	5	36	0	0
ENSG00000282843.1_13	0	0	0	0
ENSG00000142623.11_7	5824	158	1544	44
ENSG00000142619.4_4	106	875	87	70
ENSG00000266634.1	3	0	4	0
ENSG00000159339.13_4	2	48	6	9
ENSG00000269468.1	0	0	1	0
ENSG00000276747.1_7	0	2	2	0
ENSG00000227751.1_8	0	0	0	0
ENSG00000179051.14_8	5922	11166	4291	5269
ENSG00000266727.1	0	0	0	0
ENSG00000290096.1_1	2	0	1	0
ENSG00000239020.1	0	0	0	0
ENSG00000074964.17_11	3124	590	1709	262
ENSG00000236648.2_11	0	0	4	0
ENSG00000117148.8_6	0	1	1	0
ENSG00000284653.1_6	0	0	0	0
ENSG00000261781.1_6	0	0	0	20
ENSG00000117154.12_7	13	40	22	65
ENSG00000280222.1_8	0	1	1	0
ENSG00000230035.2_10	0	0	0	0
ENSG00000225387.1_8	0	0	0	0
ENSG00000179023.9_6	286	0	305	1
ENSG00000235282.3_7	0	0	0	0
ENSG00000225478.2_9	0	0	0	0
ENSG00000009709.12_6	3	11	36	0
ENSG00000179002.6_8	0	0	0	0
